base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct
NEOENERGIA385,ARR02,ARR02_AL024,perda modelada absurda: 748.1%,748.077,4.509,-743.568,23.5248,22.4641,7233,16590.8,True,False,False,,,13.8,1280,339.61,10,True,0,OK,0.228,0.688,10780,14.5
NEOENERGIA385,QUE01,QUE01_AL006,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.34],719.004,7.699,-711.305,15.6054,14.404,4232,9339.2,True,False,False,,,13.8,1016,515.71,4,True,0,TENSAO_IMPLAUSIVEL[C-API:0.34],0.062,0.232,7238,9.7
NEOENERGIA385,PAC01,PAC01_AL010,medida quase sem perda: 2.88% total medido,711.63,2.884,-708.746,4.0882,3.9703,1404,24671.4,True,False,False,,,13.8,1342,792.49,6,True,0,OK,0.091,0.654,11978,9.9
NEOENERGIA385,TAM01,TAM01_AL011,perda modelada absurda: 656.0%,656.025,7.563,-648.462,12.8818,11.9075,1526,8673.7,True,False,False,,,13.8,1251,666.59,7,True,0,OK,0.059,0.544,10252,14.2
NEOENERGIA385,PEB01,PEB01_AL005,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.34],655.078,8.503,-646.575,4.8759,4.4613,539,7704.2,True,False,False,,,13.8,1525,845.65,6,True,0,TENSAO_IMPLAUSIVEL[C-API:0.34],0.042,0.196,11235,8.0
NEOENERGIA385,CEL01,CEL01_AL010,perda modelada absurda: 640.1%,640.127,3.173,-636.954,23.6105,22.8614,704,20176.4,True,False,False,,,13.8,2568,824.4,6,True,0,OK,0.06,0.524,11986,13.0
NEOENERGIA385,CEL01,CEL01_AL012,perda modelada absurda: 572.7%,572.703,7.395,-565.308,23.5269,21.7871,4247,7744.6,True,False,False,,,13.8,2568,824.4,6,True,0,OK,0.06,0.524,11986,13.0
NEOENERGIA385,IGT01,IGT01_AL022,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.49],499.272,10.91,-488.362,19.4077,17.2903,4696,4576.2,True,False,False,,,13.8,1364,507.02,3,True,0,TENSAO_IMPLAUSIVEL[C-API:0.49],0.155,0.488,10342,16.8
NEOENERGIA385,CEL01,CEL01_AL006,perda modelada absurda: 494.2%,494.151,3.08,-491.071,17.3826,16.8472,926,16041.7,True,False,False,,,13.8,2568,824.4,6,True,0,OK,0.06,0.524,11986,13.0
NEOENERGIA385,TAM01,TAM01_AL010,perda modelada absurda: 454.8%,454.768,9.272,-445.496,10.9524,9.9369,1967,4904.5,True,False,False,,,13.8,1251,666.59,7,True,0,OK,0.059,0.544,10252,14.2
