base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct,se_n_linhas,se_ramos_isolados
COPELDIS2866,72872,885080029,denominador minusculo: 0.233 GWh injetados,15.482,10.374,-5.108,0.233,0.2088,63,149.2,True,False,False,,,34.5,947,1610.39,11,True,0,OK,0.067,0.992,520,93.5,20428,12321
COPELDIS2866,71200,806960007,a investigar,14.761,10.571,-4.19,8.9288,7.985,4524,139.6,True,False,False,,,33.0,1136,562.54,6,True,0,OK,0.98,0.999,0,92.9,8684,681
COPELDIS2866,72581,851480106,a investigar,13.386,8.317,-5.069,29.2507,26.818,4573,161.0,True,False,False,0.953892260229394,14.033031358049708,13.8,1714,241.67,14,True,0,OK,0.895,0.917,6642,69.0,9717,158
COPELDIS2866,72646,854000012,a investigar,12.197,8.304,-3.893,24.362,22.339,8967,146.9,True,False,False,,,34.5,1737,608.45,7,True,0,OK,0.947,0.99,0,77.7,11831,2884
COPELDIS2866,72849,870560015,a investigar,11.818,7.469,-4.349,3.74,3.4607,852,158.2,True,False,False,0.5489482503879819,21.52844096259958,34.5,5443,2397.22,10,True,0,OK,0.819,0.902,17847,70.1,28776,252
COPELDIS2866,72360,821600009,medida quase sem perda: 2.14% total medido,11.492,2.141,-9.351,33.609,32.8896,8028,536.9,True,False,False,,,34.5,1897,2364.52,12,True,0,OK,0.016,0.974,3,75.5,31424,18126
COPELDIS2866,72095,806240005,a investigar,10.283,3.95,-6.333,5.813,5.5834,2063,260.3,True,False,False,3.048522470266178,3.3731094654198666,34.5,2190,1863.17,9,True,0,OK,0.966,0.992,1734,90.9,22656,11800
COPELDIS2866,72770,846680005,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.33],9.428,5.72,-3.708,2.48,2.3381,482,164.8,True,False,False,,,34.5,14190,7736.02,16,True,0,TENSAO_IMPLAUSIVEL[C-API:0.33],0.01,0.735,58015,9.5,86018,3616
COPELDIS2866,72295,819440002,a investigar,9.289,3.766,-5.523,14.4062,13.8636,3061,246.6,True,False,False,,,34.5,1054,1552.27,8,True,0,OK,0.939,0.981,206,51.3,20495,11137
COPELDIS2866,72589,846440005,medida quase sem perda: 2.36% total medido,9.009,2.361,-6.648,23.252,22.7029,7719,381.5,True,False,False,,,34.5,3104,3339.23,11,True,0,OK,0.108,0.958,2276,60.5,46602,26637
COPELDIS2866,71200,806960008,medida quase sem perda: 2.34% total medido,8.744,2.337,-6.407,1.667,1.628,516,374.1,True,False,False,,,33.0,1136,562.54,6,True,0,OK,0.98,0.999,0,92.9,8684,681
COPELDIS2866,72859,887840009,a investigar,6.577,4.398,-2.179,9.5479,9.1279,2792,149.5,True,False,False,,,34.5,1332,853.21,5,True,0,OK,0.967,0.978,3523,83.6,10216,1256
COPELDIS2866,74745,883160017,medida quase sem perda: 2.73% total medido,6.029,2.733,-3.296,19.949,19.4038,2959,220.6,True,False,False,1.3832699468454397,4.358512966864633,13.8,1725,340.69,13,True,0,OK,0.941,0.958,606,73.7,9787,254
COPELDIS2866,71100,823620118,a investigar,5.983,3.313,-2.67,21.032,20.3352,4888,180.6,True,False,False,2.954309070536243,2.0251774127728663,13.2,1535,323.77,10,True,0,OK,0.959,0.991,0,76.0,8184,426
