base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto
CEEE_EQUAT5707,P13,P13P1314,no limite: modelo 1.15x o total medido,2.635,2.294,-0.341,32.1184,31.3815,7255,114.9,True,False,False,,,13.8,1434,194.16,14,True,0,OK
CEEE_EQUAT5707,P02,P02P0211,no limite: modelo 1.12x o total medido,2.619,2.346,-0.273,12.6608,12.3638,361,111.6,True,False,False,,,13.8,1082,94.35,13,True,0,OK
CEEE_EQUAT5707,JGR,JGRJGR01,no limite: modelo 1.04x o total medido,2.588,2.5,-0.088,7.4372,7.2513,900,103.5,True,False,False,,,23,844,684.64,5,True,0,OK
CEEE_EQUAT5707,GU1,GU1GU101,no limite: modelo 1.01x o total medido,2.543,2.513,-0.03,40.3546,39.3405,9927,101.2,True,False,False,,,23,2254,973.27,9,True,0,OK
CEEE_EQUAT5707,SJE,SJESJE04,no limite: modelo 1.04x o total medido,2.542,2.437,-0.105,15.1219,14.7533,1977,104.3,True,False,False,,,23,296,114.81,4,True,0,OK
CEEE_EQUAT5707,SVP,SVPSVP02,medida quase sem perda: 2.07% total medido,2.522,2.066,-0.456,10.7992,10.5761,1085,122.1,True,False,False,,,23,890,490.29,6,True,0,OK
CEEE_EQUAT5707,PL2,PL2PL212,no limite: modelo 1.08x o total medido,2.49,2.316,-0.174,11.8779,11.6028,3140,107.5,True,False,False,,,13.8,1077,158.99,12,True,0,OK
CEEE_EQUAT5707,P02,P02P0208,no limite: modelo 1.10x o total medido,2.307,2.1,-0.207,20.2123,19.7879,4786,109.9,True,False,False,,,13.8,1082,94.35,13,True,0,OK
CEEE_EQUAT5707,ELD,ELDELD02,no limite: modelo 1.10x o total medido,2.236,2.03,-0.206,20.5448,20.1278,2661,110.2,True,False,False,,,23,827,263.94,6,True,0,OK
CEEE_EQUAT5707,PMR,PMRPMR03,no limite: modelo 1.04x o total medido,2.206,2.12,-0.086,6.8863,6.7404,622,104.1,True,False,False,,,23,1073,675.67,8,True,0,OK
CEEE_EQUAT5707,P13,P13P1308,no limite: modelo 1.03x o total medido,2.065,2.005,-0.06,21.7702,21.3338,4781,103.0,True,False,False,,,13.8,1434,194.16,14,True,0,OK
